scene,subset,tolerance,view_idx,frame_id,oracle_k_star,was_early_frozen,is_active_later,freeze_abs_rel,decode_oracle_abs_rel,fixed16_abs_rel,delta_freeze_vs_decode,delta_freeze_vs_k16,freeze_rmse,freeze_mae,freeze_delta1,freeze_geom_l2,freeze_rot_err_deg
scan10,subset_uniform,2pct,0,0,11,True,False,0.0030172558035701513,0.0030172558035701513,0.0030962012242525816,0.0,-7.894542068243027e-05,3.025301933288574,1.9336967468261719,0.9999999403953552,627.2977905273438,0.0
scan10,subset_uniform,2pct,1,8,11,True,False,0.003234179224818945,0.003234179224818945,0.0031796821858733892,0.0,5.449703894555569e-05,3.014862537384033,2.208085536956787,1.0,642.130859375,0.0
scan10,subset_uniform,2pct,2,16,12,True,True,0.0032419811468571424,0.0032419811468571424,0.003264554077759385,0.0,-2.257293090224266e-05,3.098179817199707,2.227841854095459,1.0,655.1325073242188,0.0
scan10,subset_uniform,2pct,3,24,15,True,True,0.003473401302471757,0.0032699895091354847,0.0032205490861088037,0.00020341179333627224,0.0002528522163629532,3.2685928344726562,2.4495837688446045,1.0,655.5457763671875,0.0
scan10,subset_uniform,2pct,4,32,13,True,True,0.003774375654757023,0.0036870306357741356,0.0036407606676220894,8.734501898288727e-05,0.00013361498713493347,3.7856714725494385,2.6385934352874756,1.0,659.6640625,0.0
scan10,subset_uniform,2pct,5,40,14,True,True,0.005709378514438868,0.005879520904272795,0.0058563100174069405,-0.00017014238983392715,-0.0001469315029680729,8.411142349243164,3.8207247257232666,1.0,681.23046875,0.0
scan11,subset_middle,5pct,0,24,15,True,True,0.0058016483671963215,0.005903529468923807,0.005807994399219751,-0.00010188110172748566,-6.346032023429871e-06,11.556557655334473,3.833408832550049,0.999991774559021,649.9850463867188,0.0
scan11,subset_middle,5pct,1,0,14,True,True,0.007679169066250324,0.00771703477948904,0.007516474928706884,-3.7865713238716125e-05,0.00016269413754343987,10.952795028686523,4.8737311363220215,1.0,624.3109741210938,0.0
scan11,subset_middle,5pct,2,1,14,True,True,0.0069114044308662415,0.006936514284461737,0.0067700669169425964,-2.5109853595495224e-05,0.00014133751392364502,10.36085033416748,4.427116394042969,1.0,630.0026245117188,0.0
scan11,subset_middle,5pct,3,2,12,True,False,0.007476266473531723,0.007476266473531723,0.00720139080658555,0.0,0.0002748756669461727,10.83493423461914,4.734244346618652,1.0,633.1251831054688,0.0
